,,Precision,Recall,AUC,Accuracy,Fmeasure,Gmean
log4j-1.2.csv,GMean_Voting,0.937823834,0.957671958,0.751984127,0.902439024,0.947643979,0.947695936
log4j-1.2.csv,Accuracy_RF,0.948717949,0.978835979,0.716931217,0.931707317,0.963541667,0.963659308
log4j-1.2.csv,FMeasure_RF,0.939698492,0.989417989,0.761078042,0.931707317,0.963917526,0.96423783
log4j-1.2.csv,GMean_RF,0.934343434,0.978835979,0.709160053,0.917073171,0.956072351,0.956330994
log4j-1.2.csv,Accuracy_Ada,0.938461538,0.968253968,0.732308201,0.912195122,0.953125,0.95324137
log4j-1.2.csv,FMeasure_Ada,0.948186528,0.968253968,0.762566138,0.92195122,0.958115183,0.958167714
log4j-1.2.csv,GMean_Ada,0.942708333,0.957671958,0.680224868,0.907317073,0.950131234,0.950160689
lucene-2.4.csv,Accuracy_Voting,0.804733728,0.669950739,0.779331919,0.705882353,0.731182796,0.734256056
lucene-2.4.csv,FMeasure_Voting,0.784431138,0.645320197,0.762755744,0.682352941,0.708108108,0.711483841
lucene-2.4.csv,GMean_Voting,0.786982249,0.655172414,0.76627953,0.688235294,0.715053763,0.718059231
lucene-2.4.csv,Accuracy_RF,0.809045226,0.793103448,0.803063536,0.764705882,0.800995025,0.80103468
lucene-2.4.csv,FMeasure_RF,0.75,0.709359606,0.7769228,0.685294118,0.729113924,0.729396809
lucene-2.4.csv,GMean_RF,0.759803922,0.763546798,0.763960303,0.714705882,0.761670762,0.761673061
lucene-2.4.csv,Accuracy_Ada,0.764397906,0.719211823,0.742529934,0.7,0.741116751,0.741460728
lucene-2.4.csv,FMeasure_Ada,0.75,0.709359606,0.726798749,0.685294118,0.729113924,0.729396809
lucene-2.4.csv,GMean_Ada,0.741463415,0.748768473,0.741523138,0.694117647,0.745098039,0.745106991
poi-2.5.csv,Accuracy_Voting,0.835680751,0.717741935,0.877509124,0.798850575,0.772234273,0.774469573
poi-2.5.csv,FMeasure_Voting,0.864253394,0.77016129,0.886515482,0.833333333,0.814498934,0.815852014
poi-2.5.csv,GMean_Voting,0.777272727,0.689516129,0.85313898,0.75862069,0.730769231,0.732080653
poi-2.5.csv,Accuracy_RF,0.853333333,0.774193548,0.915661055,0.829501916,0.811839323,0.812800813
poi-2.5.csv,FMeasure_RF,0.879310345,0.822580645,0.926786555,0.862068966,0.85,0.850472616
poi-2.5.csv,GMean_RF,0.872340426,0.826612903,0.91563898,0.860153257,0.848861284,0.849168918
poi-2.5.csv,Accuracy_Ada,0.807228916,0.810483871,0.884219743,0.818007663,0.808853119,0.808854756
poi-2.5.csv,FMeasure_Ada,0.78030303,0.830645161,0.877663645,0.808429119,0.8046875,0.805080702
poi-2.5.csv,GMean_Ada,0.797709924,0.842741935,0.881408936,0.823754789,0.819607843,0.819916828
prop-6.csv,Accuracy_Voting,0.428571429,0.136363636,0.762932354,0.895454545,0.206896552,0.241746889
prop-6.csv,FMeasure_Voting,0.25,0.136363636,0.754527599,0.872727273,0.176470588,0.184637236
prop-6.csv,GMean_Voting,0.295454545,0.393939394,0.758302724,0.845454545,0.337662338,0.341161523
